"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"08/2017",797.07,997.86,739.93,907.6,1028.58,667.6,970.14,988.55,768.58,306.43,635.04,1034.54,1254.79,992.8,1290.83,1227.6,838.95,1580.64,1342.11,1374.69,996.63,467.81,829.08,819.43,1019.79,793.58,995.2,1056.37,693.05,1098.47,1025.24,866.66,422.69,664.34,995.62,1208.37,969.56,1402.88,1007.55,815.06,1541.18,1612.65,1264.63,823.36,540.45,836.38,820.78,920.05,799.37,919.45,921.48,763.49,1403.47,1266.34,994.52,806,349.27,665.41,930.81,1253.32,847.36,1300.95,950.4,915.8,1113.38,1042.54,820.2,367.95,721.98,906.12,1182.71,846.63,1105.64,1121.88,791.6,1140.27,1087.73,841.17,362.04,700.63,821.74,927.88,799.59,906.68,945.82,702.18,1045.39,903.56,454.74,779.01,1077.44,712.77,1247.04,1175.33,1125.07,959.38,703.8,785.76,818.06,812.25,324.81,688.71
"09/2017",802,1001.47,746.74,919.7,1031.37,667.65,969,994.42,783.57,306.83,674.37,1040.26,1259.7,1001.95,1292.76,1235.7,837.31,1636.72,1343.46,1385.02,1011.03,466.41,827.39,810.96,921.33,797.36,875.3,988.08,707.62,1079.74,1026.77,884.34,383,620.7,1003,1222.15,978.1,1405.83,1033.02,828.35,1550.02,1619.63,1279.05,826.16,547.39,835.3,831.45,935.26,806.65,934.17,931.74,779.19,1450.09,1287.82,1014.84,784.9,346.28,668.46,923.3,1226.94,842.9,1236.81,967.54,908.25,1137.77,1013.82,822.17,352.64,735.44,919.83,1231.22,854.91,1158.07,1167.24,806.76,1139.89,1099.27,848.92,364.65,703.89,827,945.95,802.13,927.32,962.48,703.04,1012.65,911.91,448.33,787.6,1084.1,721.4,1248.77,1178.74,1132.49,968.39,710.43,788.81,831.78,818.8,329.1,687.79
"10/2017",819.87,1020.6,763.54,945.46,1047.86,676.37,998.31,1020.16,794.58,312.35,701.52,1076.17,1273.61,1038.95,1292.77,1265.5,854.06,1713.36,1428.96,1458.77,1036.26,479.45,851.52,846.26,1015.99,823.54,968.8,1085.87,717.4,1118.24,1062.35,882.2,434.15,648.7,1026.17,1218.6,1002.6,1393.52,1039.88,826.78,1600.51,1733.91,1341.9,821.43,561.74,849.48,851.56,946.56,828.46,942.04,950.14,787.87,1466.78,1326.53,1057.77,801.35,352.13,715.2,935.8,1272.48,847.11,1319.63,952.09,914.14,1159.75,1042.5,819.45,354.16,756.28,942.43,1246.55,879.2,1175.15,1163.67,823.28,1199.04,1136.66,862.38,371.01,744.94,834.86,950.6,809.33,926.31,969,697.48,1005.31,919.03,469.66,791.83,1090.87,725.84,1253.54,1178.72,1130.27,978.02,704.46,810.16,841.07,814.55,324.98,689.17
"11/2017",805.19,1026.93,742.92,966.96,1044.9,659.68,966.45,995.67,790.6,310.71,708.01,1042.32,1257.51,1003.97,1280.14,1247.2,824.82,1627.4,1357.26,1396.96,1027.18,465.16,818.71,839.69,1015.55,816.35,979.64,1068.9,722.07,1114.29,1034.68,882.2,436.67,644.8,1007.01,1225.07,981.38,1400.53,1040.55,823.97,1565.39,1634.3,1295.17,821.71,557.72,837.76,832.83,941.66,806.52,944,938.95,766.43,1386.11,1260.67,1015.31,791.85,354.31,705.38,918.98,1192.47,850.83,1150.19,959.91,905.66,1123.84,1008.5,836.79,344.25,727.32,921.6,1222.06,857.67,1150.77,1160.88,808.56,1146.7,1095.17,854.71,364.93,715.62,824.51,944.86,797.92,930.22,957.05,708.16,991.01,922.76,410.17,790.59,1068.73,728.12,1263.24,1179.99,1123.2,932.16,698.72,817.92,832,811.51,327.44,681.65
"01/2018",793.7,970.4,743.93,869.36,1012.68,655.64,977.98,1013.86,776.05,307.85,678.95,1043.46,1237.57,1007.68,1207.09,1253.73,825.55,1648.13,1376.53,1394.05,1027.72,467.5,808.71,845.99,1020.2,822.08,989.6,1073.97,720.92,1119.64,1052.7,898.09,450.99,654.69,1012,1215.45,990.47,1385.21,1053.03,824.92,1609.7,1660.6,1275.32,837.4,552.84,846.66,835.42,926.69,813.56,915.92,932.8,794.58,1377,1237.44,1015.32,797.81,342.98,702.86,890.06,1119.54,836.88,1027.42,926.73,886.04,1167.81,972.17,839.68,332.72,675.6,911.2,1213.38,846.94,1143.17,1153.33,790.1,1159.37,1080.65,826.84,361.76,725.54,824.15,946.65,798.46,925.89,964.17,706.32,1017.93,926.16,408.5,791.88,1022.81,741.4,1212.24,1115.32,1043.71,920.81,683.77,810.46,850.83,838.02,321.56,690.77
"02/2018",809.2,1002.23,755.3,911.27,1036.15,642.55,982.11,1047.59,788.57,321.47,713.6,1053.67,1273.98,1014.38,1285.36,1258,822.27,1654.64,1388.3,1419.6,1015.65,474.48,827.57,854.7,1029.3,830.38,977.23,1111.01,726.28,1133.39,1057.74,900.8,474.52,686.81,1020.03,1236.68,997.1,1423.97,1057.64,826.89,1661.84,1644.93,1297.91,833.04,574.63,846.08,855.95,955.11,831.47,949.1,955.42,791.09,1482.67,1269.89,1048.42,816.42,359.65,722.46,907.58,1146.43,849.87,1076.63,934.92,891.37,1182.02,1009.63,857.95,345.79,722.84,922.63,1236.81,855.18,1179.38,1157.7,795.91,1175.04,1080.8,830.66,370.02,744.61,829,962.64,799.61,932.03,986.12,701.55,995.93,920.72,443.93,795.72,1024.08,747.16,1200.4,1112.42,1044.59,928.22,685.8,824.03,876,835.2,328.55,682.26
"03/2018",817.55,1027.32,758.18,966.74,1048.48,643.21,995.63,1050.38,793.28,324.36,725.01,1047.2,1257.98,1011.37,1257.12,1258.8,823.33,1663.96,1385.75,1408.62,1014.98,472.41,813.2,854,1027.08,829.35,981.18,1099.23,739.36,1123.95,1048.96,898.32,478.93,685.78,1016.61,1224.87,994.36,1403,1059.64,842.3,1663.09,1626.01,1294.13,828.33,565.26,849.46,848.93,942.84,829.49,924.77,953.79,787.64,1439.98,1263.65,1046.64,808.67,361.49,764.97,906.1,1183.03,841.04,1113.79,932.74,900.92,1142.84,1002.5,833.2,342.47,690.11,922.68,1255.5,852.15,1219.06,1154.53,804.07,1160.08,1083.75,816.25,374.41,755.51,822.62,950.71,795,922.68,972.57,692.84,1001.81,924.8,414.28,790.94,1021.22,740.86,1180.22,1101.06,1043.78,928.22,681.05,836.8,872.14,832.37,336.07,679.39
"04/2018",830.35,1025.82,774.09,963.6,1047.77,657.03,1037.08,1059.92,802.71,321.55,737.02,1086.62,1288.25,1048.86,1306.98,1271.79,858.82,1743.44,1440.52,1488.52,1035.58,488.3,843.44,870.13,1044.23,845.15,999.9,1110.18,763.3,1181.46,1063.09,904.79,469.8,704.1,1042.08,1255.3,1016.8,1436.66,1079.95,854.48,1704.53,1694.55,1357.99,831.47,569.1,868,875.35,968.25,856.49,972,964.42,816.78,1464.1,1306.01,1092.88,828.01,366.7,785.71,929.63,1191.43,864.97,1108.4,944.72,920.59,1192.59,1048.21,850.08,359.86,711.5,946.48,1271.38,876.8,1230.59,1186.52,828.86,1180.43,1124.97,836.21,380.14,787.78,850.9,943.33,829.4,917.25,969.44,706.36,1049.33,938.45,422.81,816.31,1051.2,761.63,1188.95,1135.76,1103.23,943.74,698.71,858.1,900.05,867.27,338.4,675.03
"05/2018",815.23,1025.14,754.97,979.02,1038.04,649.44,1021.39,1024.43,767.92,325.95,731.27,1058.46,1274.52,1019.76,1304.25,1247.27,841.71,1683.97,1399.22,1424.47,1015.72,474.45,820.8,858.08,1047.4,831.82,1011.38,1102.07,752.05,1161,1049.05,894.67,450.07,686.65,1021.23,1259.52,991.25,1446.98,1068.98,850.25,1638.56,1642.23,1301.7,821.63,570.43,835.35,856.7,961.74,832.32,987.79,946.15,793.24,1380.49,1275.39,1042.88,828.09,368.81,769.82,933.3,1210.38,861.17,1225.16,908.99,957.85,1164.76,1023.78,831.6,353.21,663.67,920.52,1241.57,850.37,1191.46,1174.17,814.09,1129.49,1076.04,816.58,377.66,758.9,844.54,965.95,818.75,964.02,965.57,708.61,1000.66,927.18,441.25,805,1052.09,746.48,1180.02,1145.38,1126.68,927.05,694.62,838.38,887.68,856.38,337.67,676.23
"06/2018",819.51,1016.08,764.74,926.9,1049.03,659.02,1011.06,1041.18,778.54,328.58,734.83,1058.76,1279.98,1019.07,1314.24,1251.52,838.38,1680.17,1358.27,1425.5,1027.49,478.53,818.91,860.26,1057.13,833.68,1019.74,1109.64,752.58,1159.7,1058.47,894.67,447.71,688.83,1020.98,1272.64,989.74,1448.18,1090.58,842.53,1586.11,1638.38,1308.24,824.13,562.28,836.27,856.43,979.52,828.5,995.89,966.19,796.92,1386.61,1248.75,1057.61,812.3,368.19,771.18,953.15,1232.93,876.65,1247.69,912.69,979.35,1196.72,1012.37,853.74,364.08,672.98,926,1253.67,854.62,1201.31,1188.3,822.36,1129.8,1074.93,815.1,377.32,746.37,846.88,970.94,818.03,971.39,969.43,717.55,982.39,938.11,446.03,812.66,1079.4,748.08,1202.33,1162.98,1143.51,963.26,698,827.51,902.84,859.38,340.7,661.01
"07/2018",831.77,999.58,783.43,921.2,1025.88,675.02,1059.84,1057.92,789.87,328.45,748.48,1091.9,1286.39,1057.08,1327.88,1251.43,861.35,1756.03,1425.04,1489.99,1061.24,492.32,861.96,867.96,1046.26,842.95,1006.91,1106.84,758.34,1204.71,1075.31,892.28,452.87,703.48,1050.34,1279.81,1023.33,1454.26,1088.58,855.64,1679.4,1703.98,1377.73,840.89,562.04,860.34,869.71,965,848.4,979.6,963.38,804.45,1391.79,1324.41,1091.64,824.85,365.17,802.96,970.3,1285.37,883.32,1285.34,936.49,997.2,1198.88,1033.04,852.61,366.3,662.43,954.57,1262.07,886.69,1202.49,1197.94,843.52,1205.01,1116.34,845.68,381.77,768.6,854.62,962.68,831.71,956.09,964.17,728.78,1021.11,943.55,468.93,826.78,1084.1,763.14,1194.75,1168.33,1153.18,959.45,693.73,856.18,927.04,875.67,349.17,681.66
"08/2018",823.76,1026.4,766.48,939.2,1041.55,670.33,1024.5,1010.32,778.54,325.74,754.05,1064.3,1280.66,1023.13,1337.81,1244.46,837.8,1707.31,1398.49,1424.47,1024.64,485.67,837.44,857.78,1056.45,829.11,1024.65,1105.56,735,1187.58,1065.79,899.8,442.96,676.7,1032.06,1279.74,1002.7,1457.48,1083.85,852.7,1661.44,1626.53,1323.81,833.61,561.74,848.61,861.6,964.42,836.31,981.65,956.16,790.61,1377.85,1296.66,1068.63,815.92,370.74,801.45,961.92,1282.49,871.58,1289.82,935.31,975.68,1205.28,1014.41,852.59,364.07,664.92,935.77,1246.01,867.77,1173.21,1209.56,822.96,1172.72,1082.26,824.59,382.96,761.27,844.86,970.71,818.91,950.72,980.07,729.12,983.34,945.29,471.37,821.46,1089.13,754.29,1247.47,1176.83,1141.75,956.75,695.46,841.81,921.95,866.98,345.28,677.57
"09/2018",853.47,1047.9,797.3,968.28,1064.69,687.98,1092.61,1067.77,800.4,326.84,782.56,1101.41,1302.17,1067.09,1347.78,1274.43,854.3,1805.08,1466.04,1501.76,1057.11,501.12,876.74,876.96,1064.71,851.36,1026.4,1122.56,761.11,1236.17,1116.76,909.08,435.16,683.03,1055.71,1274.73,1028.28,1442.89,1088.73,866.88,1684.02,1707.77,1395.52,836.96,566.44,878.16,869.89,911.54,859.61,901.33,925.01,802.03,1468.81,1386,1121.04,797.61,356.42,831.11,989.9,1290.46,904.06,1305.52,947.22,1016.4,1223.39,1086.98,874.67,365.23,675.58,954.41,1236.38,893.3,1138.46,1215.42,853.23,1222.26,1125.61,837.23,386.94,799.61,860.5,970,837.53,939.16,987.61,732.17,995.61,949.96,472.01,832.71,1093.07,767.29,1263.19,1162.98,1113.81,990.91,695.91,880.4,948.51,873.32,339.49,674.16
"10/2018",839.43,1038.34,782.56,986.11,1045.41,688.38,1040.14,1036.41,768.2,334.41,776.16,1075,1303.2,1035.55,1348.34,1275.95,832.71,1737.25,1435.55,1441.8,1035.55,489.97,845.76,863.78,1065.56,836.98,1036.18,1110.52,746.49,1188.64,1082.59,903.12,442.48,678.81,1040.16,1303.14,1010.27,1498.2,1084.85,853.98,1624.25,1645.6,1356.08,829.61,577.92,861.47,863.88,957.88,841.07,957.2,964.05,793.44,1385.96,1361.37,1055.12,807.04,374.26,796.01,949.1,1253.11,863.63,1254.54,937.21,966.16,1175.11,1053.4,852.91,346.02,678.22,942.29,1272.39,869.4,1221.49,1219.76,829.42,1160.53,1095.19,821.84,387.25,803.75,865.64,979.5,839.15,961.11,987.67,736.71,994.73,958.91,488.96,829.78,1107.65,759.26,1260.46,1187.78,1151.64,989.68,687.8,869.05,929.85,866.57,339.12,658.99
"11/2018",841.98,1052.52,783.9,988.47,1067.24,674.45,1062.14,1043.9,780.89,322.34,755.34,1071.49,1281.23,1034.48,1291.66,1275.96,827.25,1733.82,1407.9,1445.47,1038.91,488.33,849.87,867.85,1068.72,838.92,1024.95,1128.56,747.26,1219.62,1063.23,904.94,457.69,678.04,1041.48,1270.41,1016.93,1433.57,1097.15,854.24,1629.13,1660.61,1360.52,840.41,581.26,876.94,864.7,952.41,844.14,940.24,963.79,778.75,1384.08,1375.3,1081.12,808.96,368.11,774.29,945.79,1238.53,865.59,1219.1,965.39,945.95,1201.32,1030.75,869.23,346.47,711.98,949.97,1263.02,881.95,1227.88,1216.3,829.41,1178.88,1106.21,830.94,391.72,800.53,869.8,969.6,848.15,959.02,973.28,746.38,995.34,962.81,425.73,823.68,1106.14,756.23,1284.34,1188.03,1142.4,987.39,672.45,849.39,909.83,886.74,335.69,688.13
"01/2019",830.27,1025.02,775.17,938.13,1049.97,657.15,1035.94,1044.36,775.88,317.34,731.64,1089.7,1301.83,1051.28,1314.93,1297.18,843.44,1783.7,1431.3,1461.6,1057.26,498.85,863.59,874.45,1068.35,848.06,1011.32,1142.89,770.72,1209.39,1063.44,898.88,462.2,707.77,1050.5,1279.92,1025.78,1468.66,1090.6,866.83,1638.53,1655.77,1338.59,862.56,581.04,893.82,870.05,962.8,850.14,961.18,958.64,786.82,1408.91,1369.5,1079.33,826.18,367.51,780.31,947.95,1270.69,862.97,1149.51,1014.95,946.21,1129.82,960.93,882.94,347.31,733.19,942.61,1236.68,877.91,1205.92,1178.72,803.02,1198.79,1103.22,835.16,388.88,809.6,858.88,983.18,831.73,1002.06,986.08,721.25,965.94,968.36,430.01,814.57,1080.52,754.42,1279.66,1180.73,1116,961.25,655.37,857.09,930.25,880.66,327.24,684.42
"02/2019",842.75,1028.38,789.88,948.82,1050.43,672.73,1043.71,1057.78,799.36,324.88,739.24,1092.08,1287.12,1056.44,1276.93,1300.26,843.78,1818.8,1404.41,1471.08,1062.67,501.12,866.13,879.06,1051.2,854.3,988.84,1138.23,767.82,1215.23,1088.07,903.12,481.38,724.36,1055.1,1271.63,1031.94,1451.63,1094.4,856.05,1697.19,1678.89,1361.86,862.79,586.99,895.83,871.7,949.21,853.9,942.4,954.25,781.4,1431.06,1386.38,1082.6,834.67,375.83,752.14,950.04,1236.52,875.5,1154.79,978.43,961.04,1153.24,994.93,876.36,356.43,728.98,949.07,1241.84,884.58,1210.21,1186.84,815.18,1191.19,1109.44,835,399.28,827.34,852.58,991.36,821.76,1003.56,987.39,722.02,955.2,968.6,450.32,822.39,1085.49,763.54,1316.12,1187.38,1097.99,967.44,688.76,846.11,917.5,881.09,331.17,703.99
"03/2019",843.8,1054.56,782.52,1028.35,1039.93,671.33,1009.13,1056.68,784.57,332.84,746.54,1096.79,1325.17,1055.44,1371.59,1302.56,845.08,1853.81,1403.12,1477.89,1054.37,499.98,859.92,875.27,1072.62,848.23,1018.65,1146.07,763.98,1181.77,1075.98,903.65,486.18,720.71,1046.22,1287.06,1018.42,1471.04,1106.49,851.75,1568.62,1636.8,1360.13,856.91,585.07,902.28,868.26,959.6,846.7,972.5,952.16,776.12,1399.73,1390.82,1078.5,831.33,378.98,738.03,953.21,1253.72,874.83,1170.07,974.22,945.52,1141.54,1002.14,879.65,351.35,743.23,939.24,1247.47,871.7,1206.58,1205.04,816.49,1179.64,1098.55,817.24,398.18,827.15,851.58,997.04,822.08,1019.52,981.84,723.47,989.5,959.58,432.86,828.71,1080.82,772.71,1283.14,1179.9,1106.64,963.67,699.38,835.16,936.75,874.34,326.57,694.55
"04/2019",843.45,1046.22,786.21,1003.27,1041.17,683.18,1015.31,1059.97,781.49,328.42,748.01,1102.27,1335.94,1062.29,1389.4,1308.24,859.05,1828.22,1441.77,1495.41,1046.54,503.21,866.33,880.79,1085,852.27,1035.38,1154.66,768.02,1200.15,1082.26,897.77,471.52,735.25,1048.52,1301.09,1019.71,1480.57,1120.17,849.88,1627.39,1640.58,1365.79,852.61,592.14,894.29,866.08,955.18,846.12,961.7,950.35,781.13,1431.06,1397.63,1075.3,825.9,374.27,724.3,972.16,1322.6,879.76,1267.22,997.4,955.09,1137.34,997.05,880.72,360.68,739.12,943.73,1266.26,872.16,1216.71,1233.88,815.8,1174.58,1102.94,815.58,399.3,810.49,858.14,977.35,833.66,993.91,973.98,721.38,981.59,954.27,434.59,845.61,1091.72,790.7,1290.02,1188.93,1122.79,972.32,718.3,848.98,949.66,894.56,330.11,688.51
"05/2019",836.43,1051.26,777.22,997.97,1051.67,681.12,1019.88,1045.22,778.87,323.49,724.71,1097.82,1324.03,1058.6,1362.3,1301.13,857.78,1861.84,1424.49,1495.41,1038.5,502.69,850.82,870.39,1080.58,842.01,1038.78,1133.22,755.24,1195.3,1081.08,888.26,459.25,719.17,1047.54,1303.35,1015.59,1483.31,1117.08,840.78,1674.59,1628.99,1362.24,846.14,594.85,902.1,864.7,972.83,842.49,997.39,961.33,780.21,1441.02,1388.68,1066.78,827.44,375.71,710.7,986.03,1356.45,887.04,1357.51,1002.34,1004.28,1105.16,1003.23,875.42,364.1,753.28,933.66,1241.41,865.94,1183.26,1222.99,805.14,1183.24,1105.69,809.82,397.58,784.53,869.23,971.14,845.65,1020.97,959.81,731.64,1006.9,947.86,446.39,845.02,1101.24,786.04,1328.63,1207.56,1132.84,963.37,729.76,830.89,955.2,874.29,334.96,692.91
"06/2019",861.8,1063.02,805.8,984.96,1079.48,703.84,1071.25,1091.03,795.31,333.74,740.87,1137.24,1352.55,1098.05,1396.09,1321.76,881.44,1965.94,1483.39,1561.9,1067.43,523.26,882.9,882.51,1092.01,853.96,1056,1139.6,765.74,1227.96,1114.11,892.16,455.68,730.75,1073.59,1294.08,1047.71,1451.98,1130.77,863.95,1645.41,1733.51,1434.59,853.77,583.62,918.61,882.97,975.65,861.5,988.69,965.24,788.56,1545.02,1418.63,1112.01,844.87,379.48,723.52,1014.17,1387.35,907.41,1388.33,1023.44,1005.29,1134.83,1023.98,896.8,379.5,797.71,956.77,1267.64,888.73,1209.3,1240.86,814.18,1224.61,1157.01,824.3,401.8,811.7,872.25,999.21,843.66,1022.26,1003.91,737.26,1029.88,948.39,447.3,854.32,1102.3,796.25,1281,1189.81,1133.9,988.51,751.84,902.83,1004.64,871.73,329.66,685.41
"07/2019",838.65,1039.01,783.19,970.67,1047.72,704.04,1036.35,1038.96,783.57,325.4,732.88,1109.61,1340.5,1068.48,1383.1,1303.2,871.1,1870.18,1439.33,1492.66,1054.47,507.65,872.55,869.38,1085.6,839.96,1054.83,1126,759.85,1185.77,1095.64,886.03,442,728.36,1056.55,1289.56,1029.28,1449.7,1122.27,865.57,1582.7,1649.09,1401.65,853.45,576.14,882.35,861.84,965.55,839.85,986.18,949.63,770.98,1436.29,1365.28,1063.77,847.93,373.87,700.52,980.84,1304.01,887.5,1283.99,1011.58,995.54,1089.53,994.03,892.4,370.72,741.36,933.12,1257.69,861.96,1202.78,1221.79,816.84,1166.22,1113.74,802.62,387.25,799.58,857.17,967.51,833.78,1008.8,957.7,731.98,1010.14,955.09,464.71,838.74,1084.25,781.22,1272.6,1162.39,1096.85,985.73,735.68,880.09,990.09,858.8,327.24,679.6
"08/2019",850.73,1050.85,793.25,995.11,1055.87,706.16,1052.39,1056.72,786.55,326.77,768.25,1116.77,1354.51,1073.01,1423.52,1292.71,872.9,1875.01,1452.86,1499.5,1049.66,510.52,871.12,874.96,1092.4,846.04,1063.46,1128.8,767.49,1223.81,1101.46,892.32,434.38,742.28,1067.05,1305.45,1040.27,1476.38,1128.81,885.27,1671.15,1673.21,1404.73,856.68,578.24,874.82,873.76,974.43,852.99,996.7,956.94,769.03,1482,1377.82,1071.14,884.12,374.27,726.08,989.9,1322.12,892.84,1334.12,1026.25,1010.32,1104.84,1000.05,884.41,364.21,766.16,937.16,1270.31,866.19,1223.49,1227.78,813.27,1175.39,1129.44,802.76,390.29,818.61,870.74,1013.31,838.76,1054.4,988.23,738.53,1005.66,950.54,474.19,840.16,1120.29,774.97,1356.36,1226.37,1147.36,985.23,727.97,904.39,961.33,859.94,328.99,677.81
"09/2019",867.3,1063.84,812.45,993.49,1079.9,704.17,1116.59,1089.96,802.37,328.6,736.57,1150.1,1360.33,1111.66,1411.5,1313.67,887.09,1950.04,1531.44,1581.83,1073.59,524.57,906.5,885.24,1101.88,856.14,1075.2,1138.47,778.01,1248.38,1104.95,906.98,428.89,735.49,1094.18,1318.12,1068.62,1495.15,1142.06,898.39,1686.73,1768.41,1468.86,865.38,588.06,888.61,886.24,979.67,864.06,1011.6,956.39,779.86,1557.56,1429.19,1095.9,861.9,374.26,737.1,985.41,1269.47,903.47,1232.51,1027.43,1016.13,1149.13,1015.94,893.3,361.76,752.31,957.68,1293.12,885.2,1244.5,1237.33,826.73,1207.05,1187.17,802.86,395.87,824.41,893.42,1019.2,865.92,1042.8,1010.76,758.81,1042.68,954.91,472.11,859.81,1141.75,795.92,1390.5,1245.91,1160.34,1011.85,736.4,946.45,1005.09,877.54,331.52,712.74
"10/2019",866.26,1087.56,803.86,1057.93,1076.11,700.26,1087.73,1057.26,797.94,333.37,739.99,1120.92,1358.76,1078.37,1417.88,1306.5,869.06,1837.44,1469.63,1524.26,1046.21,514,874.84,873.6,1097.2,843.72,1077.6,1115.97,768.49,1202.41,1081.74,903.72,440.76,733.68,1060.42,1280.54,1035.55,1438.78,1119.3,876.53,1624.84,1686.83,1402.43,855.74,586.17,876.68,873.96,970.43,853.05,1010,944.7,768.25,1454.7,1400.56,1081.16,861.84,375.13,718.08,964.2,1285.71,875.49,1282.88,1011.2,997.57,1101.49,999.66,877.21,345.15,737.04,941.3,1295.17,864.92,1234.3,1249.9,808.63,1163.18,1154.18,792.51,397.58,799,884.21,979.5,863.93,994.27,992.33,744.43,1035.4,951.05,495.73,844.19,1111.58,783.86,1403.31,1214.29,1101.23,987.39,723.15,921.2,986.61,870.14,328.57,702.74
"11/2019",863.81,1069.66,804.86,1008.8,1081.2,699.3,1090.37,1070.88,803.86,327.86,742.31,1122.79,1353.98,1083.73,1386.07,1325.02,867.45,1848.49,1513.66,1520.73,1054.47,515.8,888.92,878.22,1092,849.59,1066,1119.1,773.75,1215.32,1087.19,905.16,451.71,740.89,1070.9,1282.88,1046.2,1430.95,1135.86,873.83,1686.4,1716.25,1408.91,863.81,579.95,898.94,883.19,960.3,866.92,972.44,954.65,764.57,1463.45,1456.55,1104.89,882.94,376.42,712.93,967.01,1303.26,875.49,1301.23,1015.3,984.16,1107.68,1029.9,876.1,344.59,727.5,943.91,1269.3,873.98,1202.75,1234.46,805.04,1192.82,1158.47,792.65,396.66,788.58,888.11,964.43,871.78,978.32,982.5,763.64,1056.09,968.49,449.12,852.62,1116.02,795.33,1411.14,1223.55,1098.31,993.46,733.94,937.22,992.63,892.5,331.02,678.13
"01/2020",872.5,1065.85,817.72,995.28,1093.59,714.92,1130.22,1078.24,806.1,327.68,763.52,1127.78,1357.63,1085.31,1381.84,1331.09,869.2,1856.62,1505.57,1517.5,1059.61,525.82,893.82,883.66,1109.22,852.91,1080.63,1117.95,777.54,1236.87,1075.56,910.75,457.85,763.61,1073.21,1293.22,1047.04,1458.32,1134.59,889.17,1709.82,1678.5,1435.17,849.65,570.29,905.94,875.42,953.34,858.36,943.49,962.4,759.66,1468.16,1434.89,1110.56,868.32,357.19,694.15,930.51,1229.32,855.55,1140.82,975.74,956.57,1062.47,986.62,882.39,338.77,750.29,947.85,1263.1,880.26,1192.27,1231.86,826.5,1200.42,1150.6,800.98,395.18,823.54,888.1,984.58,868.11,982.95,995.61,762.57,1074.76,969.55,456.21,842.05,1103.12,788.51,1390.18,1203.86,1075.59,997.53,723.52,940.17,965.71,907.44,314.83,643.22
"02/2020",882.46,1064.77,831.94,969.86,1095.57,732.93,1147.95,1090.4,802.03,336.69,787.74,1174.25,1374.16,1137.05,1382.94,1362.6,914.62,1953.88,1597.01,1611.91,1075.17,547.96,931.48,913.09,1125.58,883.53,1094.06,1132.02,791.18,1339.39,1117.88,937.59,468.99,776.86,1098.24,1281.36,1079.98,1428.25,1137.48,910.52,1790.69,1765.63,1519.41,845.68,571.07,921.94,898.87,955.3,885.78,952.18,957.6,768.9,1512.76,1483.45,1167.41,882.86,369.32,716.1,932.62,1240.43,855.04,1155.34,970.28,959.46,1127.53,1043.62,874.79,350.29,739.55,975.23,1273.74,911.06,1194.38,1242.77,850.66,1252.1,1200.91,820.85,406.84,832.12,892.11,976.88,873.83,994.2,973.49,755.3,1087.67,958.44,496.6,851.08,1100.39,799.25,1404.23,1182.55,1025.6,1019.26,732.65,1031.72,1004.66,900.64,324.88,653.81
"03/2020",883.17,1071.02,828.65,1011.9,1068.06,740.93,1126.24,1097.78,792.87,322.06,781.87,1159.1,1345.68,1128.37,1341.66,1344.24,928.2,1932.08,1505.35,1607.83,1066.73,511.04,928.41,900.03,1123.99,869.33,1087.11,1127.88,794.98,1297.7,1120.55,926.82,451.98,778.17,1084.04,1274.62,1063.24,1460.84,1109.44,888.88,1814.75,1736.6,1493.54,833.99,533.11,930.52,899.07,972.83,883.45,975.43,970.63,774.18,1505.88,1508.91,1158.15,889.34,342.24,703.17,938.09,1247.64,858.28,1180.3,984.8,953.82,1082.37,1086.75,875.14,333.74,739.24,973.06,1289.85,903.75,1224.47,1241.93,852.76,1243.38,1183.12,804.67,388.53,835.55,880.13,968.5,862.85,966.97,969.05,742.83,1084.05,956.91,441.29,853.2,1125.25,795.94,1415.68,1229.32,1103.26,1013.93,730.59,1021.84,998.26,908.95,311.61,639.46
"04/2020",900.38,994.05,872.84,980.46,978.43,783.94,1158.65,1140.06,791.34,329.43,805.07,1181.5,1323.33,1155.75,1317.82,1330.56,903.38,1824.8,1471.12,1595.05,1048.85,520.78,966.89,904.14,1081.12,876.2,1047.2,1078,779.96,1276.13,1108.13,898.92,410.96,776.65,1141.44,1254.6,1130.44,1449.05,1113.78,893.57,1723.78,1690.76,1498.12,863.93,622.25,1048.01,920.7,943.1,913.77,962.39,925.97,771.07,1373.18,1473.55,1140.83,879.14,358.92,762.78,954.38,1237.38,880.43,1233.92,965.34,945.25,1052.7,1032.81,849.17,350.49,832.23,963.14,1222.09,904.49,1168.43,1171.76,817.38,1203.08,1172.75,775.05,395.78,890.29,938.85,978.49,929.92,985.95,996.38,797.61,1100.11,952.18,460.52,884.27,1108.8,833.28,1372.09,1207.15,1091.18,1013.94,756.5,954.97,1031.12,931.21,309.99,641.42
